id;model;include_size;include_training_data;training data size;dataset;causal/bidir;size;Avg. Performance;Ellipsis;Argument Structure;Determiner-Noun Agreement;Island Effects;Subject-Verb Agreement;Control/Raising;Anaphor Agreement;Irreg. Forms;Quantifiers;Binding;NPI Licensing;Filler-Gap
52;Roberta;1;1;30B ~160GB;blimp;bidir;<1B;87;92;84;99;81;92;82;97;96;70;78;82;90
120;Flan-t5 sm;0;0;;blimp;;<1B;62;;;;;;;;;;;;
120;Flan-t5 lg;0;0;;blimp;;<1B;75;;;;;;;;;;;;
120;Flan-t5 xl;0;0;;blimp;;1-7B;85;;;;;;;;;;;;
120;text-curie-001;1;1;<800B;blimp;causal;1-7B;84;;;;;;;;;;;;
120;text-davinci-002;1;1;<800B;blimp;causal;>7B;86;;;;;;;;;;;;
120;text-davinci-003;1;1;<800B;blimp;causal;>7B;87;;;;;;;;;;;;
121;Pythia 1B;1;1;207 B ~825GB;blimp;causal;1-7B;82;;;;;;;;;;;;
121;Pythia 6.9B;1;1;207 B ~825GB;blimp;causal;1-7B;86;;;;;;;;;;;;
121;OLMo 1B;1;1;3T;blimp;causal;1-7B;83;;;;;;;;;;;;
121;OLMo 7B;1;1;2,5T;blimp;causal;1-7B;84;;;;;;;;;;;;
121;Gemma 2B;1;1;2T;blimp;causal;1-7B;83;;;;;;;;;;;;
121;Gemma 2B;1;1;6T;blimp;causal;1-7B;84;;;;;;;;;;;;
121;Llama2 7B;1;1;2T;blimp;causal;1-7B;85;;;;;;;;;;;;
121;Mistral 7B;1;1;unknown;blimp;causal;1-7B;85;;;;;;;;;;;;
133;Transformer-XL;1;1;83M;blimp;bidir;<1B;68.7;77.2;69.5;83;45.8;76;71.5;94.1;78.2;69.3;74.7;55.2;64.9
133;GPT-2;1;1;~40GB;blimp;causal;<1B;80.1;86.6;78.3;93.3;63.1;89;80.5;99.6;84.1;71.3;80.1;78.9;79
134;Minibert 1M tokens;0;1;1M;blimp;bidir;<1B;60.33333333;55;60;62;49;54;59;68;78;64;58;55;62
134;Minibert 10M;0;1;10M;blimp;bidir;<1B;73.66666667;85;70;88;51;77;69;88;88;60;72;71;65
134;Minibert 100M;0;1;100M;blimp;bidir;<1B;79.41666667;90;76;91;62;85;76;94;91;62;75;77;74
134;Minibert 1B;1;1;1B;blimp;bidir;<1B;82.75;91;78;94;65;89;78;98;93;65;78;81;83
134;Roberta base (30b tokens);1;1;30B ~160GB;blimp;bidir;<1B;85.91666667;90;83;96;80;92;81;97;96;70;77;80;89
178;GPT-2 xl;0;0;~40GB;blimp;causal;1-7B;;;;;;;;;;;;;
180;Gpt2-medium (Salazar et al. (2020));1;1;~40GB;blimp;causal;<1B;82.6;86.3;83.4;96.3;71.7;88.3;83;99.4;94.9;74.1;77.8;74.7;81.3
180;En-BERT;0;0;~3.3B;CoLA;bidir;<1B;;;;;;;;;;;;;
180;XLM-R;0;0;~2.5TB;CoLA;bidir;<1B;;;;;;;;;;;;;
180;It-BERT;0;0;;ItaCoLA;bidir;<1B;;;;;;;;;;;;;
180;XLM-R;0;0;~2.5TB;ItaCoLA;bidir;<1B;;;;;;;;;;;;;
180;Sw-BERT;0;0;;DaLAJ;bidir;<1B;;;;;;;;;;;;;
180;XLM-R;0;0;~2.5TB;DaLAJ;bidir;<1B;;;;;;;;;;;;;
192;Bert-base pre-train;1;1;~3.3B;blimp;bidir;<1B;76.83333333;80;73;99;57;80;73;90;96;64;72;70;68
203;GPT2tiny ;1;1;~40GB;blimp;causal;<1B;54.42857143;63;55;;;64;39;;;53;50;57;
204;BabyBERTa+AO-CHILDES;1;1;5M ~0.02GB;blimp;bidir;<1B;61.6;54.4;54.8;78.8;53;56;54.8;70.3;70.3;61.3;63.3;53.9;68.4
204;BabyBERTa+Wikipedia-1 ;1;1;5M ~0.02GB;blimp;bidir;<1B;64.6;74.6;59.7;80;52.8;68.5;60.4;62.9;75.8;54.6;70.6;54.2;61.2
204;BabyBERTa+concat;1;1;5M ~0.02GB;blimp;bidir;<1B;69.1;69.3;64.2;87.6;48.6;83.5;59.9;74.3;81.1;57.9;72.3;60.2;70.5
204;RoBERTa-base+AO-CHILDES;1;1;5M ~0.02GB;blimp;bidir;<1B;62.1;65.1;57.1;59.2;56.2;57.6;59.2;65;69.7;67.6;57.1;58.5;55.7
204;RoBERTa-base warstadt;1;1;10M+;blimp;bidir;<1B;80.863636;85.3;69.9;91.4;52.1;77;70;88.6;85.5;58.2;72.6;71.9;67
204;RoBERTa-base+30B Liu etal 2019;1;1;30B ~160GB;blimp;bidir;<1B;85.4;91.4;77.8;81.9;80.7;91.9;81.9;97.3;96.2;69.8;83.5;81;90.1
206;Roberta base;1;1;30B ~160GB;blimp;bidir;<1B;84;;;;;;;;;;;;
206;Roberta large;1;1;30B ~160GB;blimp;bidir;<1B;85;;;;;;;;;;;;
206;Gpt2;1;1;10B ~40GB;blimp;causal;<1B;79;;;;;;;;;;;;
206;Gpt2-medium;1;1;~40GB;blimp;causal;<1B;80;;;;;;;;;;;;
206;OPT (125M);1;1;180B;blimp;causal;<1B;78;;;;;;;;;;;;
206;OPT (350M);1;1;180B;blimp;causal;<1B;81;;;;;;;;;;;;
